resource_id,type,network_address,state,next_state,finaud_decision,next_finaud_decision,state_num,suspended_jobs,scheduler_priority,cpuset,besteffort,deploy,expiry_date,desktop_computing,last_job_date,available_upto,last_available_upto,drain,gpumodel,core,cpu,gpu,gpudevice,host,ip,fall,devel,mig,migdevice,total_mem,cpumodel,n_cpus,n_cores,n_gpus,mem_per_gpu,cpubrand,scratch1_loc,scratch1
260,default,virgo13,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1649061740,2147483647,0,NO,T4,194,19,113,0,virgo13,129.88.179.142,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
643,default,bigfoot4,Alive,UnChanged,YES,NO,1,NO,0,20,YES,NO,0,NO,1651485320,2147483647,0,NO,V100,577,56,159,1,bigfoot4,129.88.198.141,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,384
170,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,1,YES,NO,0,NO,1651496529,2147483647,0,NO,A100,106,5,7,0,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
128,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,23,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,64,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
248,default,virgo7,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1650986778,2147483647,0,NO,T4,182,13,17,0,virgo7,129.88.179.136,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
501,default,bigfoot6,Alive,UnChanged,NO,NO,1,NO,0,8,YES,NO,0,NO,1651431537,2147483647,0,NO,V100,435,48,142,0,bigfoot6,129.88.198.143,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,383
639,default,bigfoot4,Alive,UnChanged,YES,NO,1,NO,0,12,YES,NO,0,NO,1651490849,2147483647,0,NO,V100,573,56,158,0,bigfoot4,129.88.198.141,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,384
424,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,55,YES,NO,0,NO,1651485802,2147483647,0,NO,A100,358,45,139,1,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
413,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,44,YES,NO,0,NO,1651485802,2147483647,0,NO,A100,347,45,139,1,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
110,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,5,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,46,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
465,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,32,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,399,47,141,1,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
569,default,bigfoot2,Alive,UnChanged,YES,NO,1,NO,0,0,YES,NO,0,NO,1651399870,2147483647,0,NO,V100,503,52,150,0,bigfoot2,129.88.197.52,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
129,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,24,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,65,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
573,default,bigfoot2,Alive,UnChanged,YES,NO,1,NO,0,8,YES,NO,0,NO,1651399870,2147483647,0,NO,V100,507,52,150,0,bigfoot2,129.88.197.52,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
285,default,virgo26,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1651048733,2147483647,0,NO,T4,219,32,126,0,virgo26,129.88.179.155,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
276,default,virgo21,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1649693341,2147483647,0,NO,T4,210,27,121,0,virgo21,129.88.179.150,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
275,default,virgo21,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1649693341,2147483647,0,NO,T4,209,27,121,0,virgo21,129.88.179.150,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
274,default,virgo20,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1650892026,2147483647,0,NO,T4,208,26,120,0,virgo20,129.88.179.149,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
273,default,virgo20,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1650892026,2147483647,0,NO,T4,207,26,120,0,virgo20,129.88.179.149,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
682,default,bigfoot5,Alive,UnChanged,NO,NO,1,NO,0,18,YES,NO,0,NO,1651342759,2147483647,0,NO,V100,616,58,162,0,bigfoot5,129.88.198.142,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,384
535,default,bigfoot6,Alive,UnChanged,NO,NO,1,NO,0,37,YES,NO,0,NO,1651482538,2147483647,0,NO,V100,469,49,145,3,bigfoot6,129.88.198.143,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,383
259,default,virgo13,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1649061740,2147483647,0,NO,T4,193,19,113,0,virgo13,129.88.179.142,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
399,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,30,YES,NO,0,NO,1651494778,2147483647,0,NO,A100,333,44,138,0,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
513,default,bigfoot6,Alive,UnChanged,NO,NO,1,NO,0,32,YES,NO,0,NO,1651421954,2147483647,0,NO,V100,447,48,143,1,bigfoot6,129.88.198.143,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,383
106,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,1,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,42,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
155,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,55,YES,NO,0,NO,1651476214,2147483647,2147483647,NO,A100,91,4,6,1,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
672,default,bigfoot4,Alive,UnChanged,YES,NO,1,NO,0,39,YES,NO,0,NO,1651482645,2147483647,0,NO,V100,606,57,161,3,bigfoot4,129.88.198.141,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,384
520,default,bigfoot6,Alive,UnChanged,NO,NO,1,NO,0,7,YES,NO,0,NO,1651489923,2147483647,0,NO,V100,454,49,144,2,bigfoot6,129.88.198.143,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,383
706,default,bigfoot5,Alive,UnChanged,NO,NO,1,NO,0,27,YES,NO,0,NO,1651345498,2147483647,0,NO,V100,640,59,165,3,bigfoot5,129.88.198.142,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,384
272,default,virgo19,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1649061740,2147483647,0,NO,T4,206,25,119,0,virgo19,129.88.179.148,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
638,default,bigfoot4,Alive,UnChanged,YES,NO,1,NO,0,10,YES,NO,0,NO,1651490849,2147483647,0,NO,V100,572,56,158,0,bigfoot4,129.88.198.141,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,384
284,default,virgo25,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1649061709,2147483647,0,NO,T4,218,31,125,0,virgo25,129.88.179.154,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
537,default,bigfoot1,Alive,UnChanged,YES,NO,1,NO,0,0,YES,NO,0,NO,1651400895,2147483647,0,NO,V100,471,50,146,0,bigfoot1,129.88.197.51,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
482,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,49,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,416,47,141,1,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
355,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,50,YES,NO,0,NO,1651050510,2147483647,0,NO,A100,289,43,137,1,bigfoot7,129.88.198.145,NO,YES,YES,12,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
542,default,bigfoot1,Alive,UnChanged,YES,NO,1,NO,0,10,YES,NO,0,NO,1651400895,2147483647,0,NO,V100,476,50,146,0,bigfoot1,129.88.197.51,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
538,default,bigfoot1,Alive,UnChanged,YES,NO,1,NO,0,2,YES,NO,0,NO,1651400895,2147483647,0,NO,V100,472,50,146,0,bigfoot1,129.88.197.51,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
571,default,bigfoot2,Alive,UnChanged,YES,NO,1,NO,0,4,YES,NO,0,NO,1651399870,2147483647,0,NO,V100,505,52,150,0,bigfoot2,129.88.197.52,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
572,default,bigfoot2,Alive,UnChanged,YES,NO,1,NO,0,6,YES,NO,0,NO,1651399870,2147483647,0,NO,V100,506,52,150,0,bigfoot2,129.88.197.52,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
237,default,virgo2,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1649061740,2147483647,0,NO,T4,171,8,12,0,virgo2,129.88.179.131,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
218,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,49,YES,NO,0,NO,1651495819,2147483647,0,NO,A100,154,6,8,1,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
247,default,virgo7,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1650986778,2147483647,0,NO,T4,181,13,17,0,virgo7,129.88.179.136,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
178,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,9,YES,NO,0,NO,1651496529,2147483647,0,NO,A100,114,5,7,0,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
117,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,12,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,53,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
179,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,10,YES,NO,0,NO,1651496529,2147483647,0,NO,A100,115,5,7,0,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
707,default,bigfoot5,Alive,UnChanged,NO,NO,1,NO,0,29,YES,NO,0,NO,1651345498,2147483647,0,NO,V100,641,59,165,3,bigfoot5,129.88.198.142,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,384
502,default,bigfoot6,Alive,UnChanged,NO,NO,1,NO,0,10,YES,NO,0,NO,1651431537,2147483647,0,NO,V100,436,48,142,0,bigfoot6,129.88.198.143,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,383
107,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,2,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,43,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
240,default,virgo3,Absent,UnChanged,NO,NO,2,NO,0,1,YES,NO,0,NO,1651139590,2147483647,0,NO,T4,174,9,13,0,virgo3,129.88.179.132,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
134,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,29,YES,NO,0,NO,1651334835,2147483647,2147483647,NO,A100,70,3,5,0,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
518,default,bigfoot6,Alive,UnChanged,NO,NO,1,NO,0,3,YES,NO,0,NO,1651489923,2147483647,0,NO,V100,452,49,144,2,bigfoot6,129.88.198.143,NO,NO,NO,,192,Gold 5218R,2,40,4,96,intel,/var/tmp,383
541,default,bigfoot1,Alive,UnChanged,YES,NO,1,NO,0,8,YES,NO,0,NO,1651400895,2147483647,0,NO,V100,475,50,146,0,bigfoot1,129.88.197.51,NO,NO,NO,,192,Gold 6130,2,32,4,96,intel,/var/tmp,175
345,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,40,YES,NO,0,NO,1651050510,2147483647,0,NO,A100,279,43,137,1,bigfoot7,129.88.198.145,NO,YES,YES,9,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
