jobs,quotas_off_s,quotas_on_s,overhead_s,ratio
2,0.042348,0.027052,-0.015296,0.6388
4,0.027084,0.030460,0.003376,1.1247
8,0.034324,0.037967,0.003643,1.1061
16,0.049968,0.088835,0.038867,1.7779
32,0.187563,0.195839,0.008276,1.0441
64,0.201409,0.214448,0.013039,1.0647
128,0.231110,0.249985,0.018874,1.0817
256,0.331660,0.320603,-0.011057,0.9667
512,0.460618,0.466282,0.005665,1.0123
1024,0.688384,0.813309,0.124925,1.1815
2048,1.361794,1.458786,0.096992,1.0712
4096,2.770266,3.061943,0.291677,1.1053
8192,5.988002,6.282660,0.294658,1.0492
16384,15.466824,14.836689,-0.630134,0.9593
