jobs,quotas_off_s,quotas_on_s,overhead_s,ratio
2,0.038164,0.036964,-0.001200,0.9686
4,0.027463,0.034288,0.006824,1.2485
8,0.034615,0.045161,0.010546,1.3047
16,0.051025,0.106511,0.055486,2.0874
32,0.186029,0.255738,0.069709,1.3747
64,0.201933,0.338540,0.136607,1.6765
128,0.231869,0.525350,0.293481,2.2657
256,0.323347,0.991781,0.668435,3.0672
512,0.457788,2.270660,1.812872,4.9601
1024,0.719495,6.293337,5.573842,8.7469
2048,1.290091,20.001290,18.711200,15.5038
4096,2.686721,62.628550,59.941829,23.3104
8192,5.996364,262.343065,256.346701,43.7504
16384,14.910395,976.967646,962.057251,65.5226
