jobs,quotas_off_s,quotas_on_s,overhead_s,ratio
2,0.043248,0.027007,-0.016241,0.6245
4,0.027053,0.030534,0.003481,1.1287
8,0.034525,0.038044,0.003520,1.1019
16,0.049684,0.098815,0.049130,1.9889
32,0.183728,0.194592,0.010864,1.0591
64,0.201686,0.220093,0.018407,1.0913
128,0.231117,0.290127,0.059010,1.2553
256,0.329156,0.523352,0.194196,1.5900
512,0.459395,1.362211,0.902816,2.9652
1024,0.728371,4.392604,3.664232,6.0307
2048,1.367234,16.271855,14.904621,11.9013
4096,2.731097,61.621132,58.890036,22.5628
8192,6.221368,230.746662,224.525293,37.0894
16384,14.468558,933.985362,919.516804,64.5528
